can,APT_charge,ES_root_Mulliken_charge,ES_root_NPA_Rydberg,ES_root_NPA_charge,ES_root_NPA_core,ES_root_NPA_total,ES_root_NPA_valence,Mulliken_charge,NMR_anisotropy,NMR_shift,NPA_Rydberg,NPA_charge,NPA_core,NPA_total,NPA_valence,VBur,X,Y,Z
O=[N+]([O-])c1c(F)cc2c(c1Br)NB1Nc3c(cc(F)c([N+](=O)[O-])c3Br)N12,1.101773,0.69377,0.01633,1.07029,1.99894,3.92971,1.91444,0.689142,16.75,89.4498,0.01625,1.06342,1.99894,3.93658,1.92139,0.6027375707992448,-1.2e-05,-1.300393,-0.005915
O=[N+]([O-])c1c(F)cc2c(c1Br)N[BH-]1Nc3c(cc(F)c([N+](=O)[O-])c3Br)N12,1.126946,0.528247,0.01649,0.66874,1.99919,4.33126,2.31558,0.545889,12.9267,106.6216,0.01645,0.69441,1.99922,4.30559,2.28992,0.5994336060415355,6.8e-05,-1.511415,1.354728
O=[N+]([O-])c1c(O)ccc2c1NB1Nc3c(ccc(O)c3[N+](=O)[O-])N12,1.10752,0.701871,0.01711,1.09031,1.99894,3.90969,1.89365,0.665209,16.1001,88.8513,0.01644,1.0429,1.99892,3.9571,1.94175,0.605254877281309,0.007556,-1.06967,-0.006442
O=[N+]([O-])c1c(O)ccc2c1N[BH-]1Nc3c(ccc(O)c3[N+](=O)[O-])N12,1.243646,0.536812,0.0159,0.66747,1.99921,4.33253,2.31742,0.543425,16.2932,106.5436,0.01639,0.6762,1.99925,4.3238,2.30816,0.5991976085588421,-0.009137,-1.150534,-1.464994
O=[N+]([O-])c1c2c(cc(C(F)(F)F)c1C(F)(F)F)N1B(N2)Nc2c1cc(C(F)(F)F)c(C(F)(F)F)c2[N+](=O)[O-],1.113097,0.696606,0.01661,1.06591,1.99894,3.93409,1.91853,0.698444,15.5031,88.3689,0.01659,1.06902,1.99894,3.93098,1.91544,0.6051762114537445,-0.006619,-2.226487,-0.024773
O=[N+]([O-])c1c2c(cc(C(F)(F)F)c1C(F)(F)F)N1[BH-](N2)Nc2c1cc(C(F)(F)F)c(C(F)(F)F)c2[N+](=O)[O-],1.1613,0.53066,0.01561,0.66321,1.99918,4.33679,2.322,0.542499,14.5695,106.8238,0.01589,0.68157,1.99922,4.31843,2.30332,0.5997482693517936,-0.008737,-2.410822,-1.512724
Oc1c(Cl)ccc2c1NB1Nc3c(ccc(Cl)c3O)N12,1.019953,0.660726,0.01672,1.02561,1.99892,3.97439,1.95875,0.666037,13.9979,90.5502,0.01617,1.04248,1.99892,3.95752,1.94242,0.604153555695406,3e-06,1.539502,-0.000195
Oc1c(Cl)ccc2c1N[BH-]1Nc3c(ccc(Cl)c3O)N12,1.104579,0.497163,0.02111,0.65905,1.99926,4.34095,2.32058,0.531502,16.305,104.6578,0.01897,0.69513,1.99929,4.30487,2.28661,0.6059628697293895,-0.017797,1.91119,-0.981344
Oc1cc2c(c(O)c1Br)NB1Nc3c(cc(O)c(Br)c3O)N12,1.024095,0.659322,0.01648,1.02194,1.99892,3.97806,1.96266,0.664109,15.5842,90.8181,0.01608,1.04349,1.99893,3.95651,1.94149,0.604153555695406,2e-06,1.946909,0.000126
Oc1cc2c(c(O)c1Br)N[BH-]1Nc3c(cc(O)c(Br)c3O)N12,1.108087,0.509831,0.01903,0.67537,1.99929,4.32463,2.30631,0.523091,15.938,104.5538,0.01948,0.69714,1.9993,4.30286,2.28408,0.6084801762114538,-0.026001,2.392308,1.04353
Oc1cc2c(cc1F)N1B(N2)Nc2cc(O)c(F)cc21,1.000509,0.662875,0.01683,1.03901,1.99891,3.96099,1.94524,0.659023,18.1627,90.1109,0.01612,1.0379,1.99891,3.9621,1.94706,0.604310887350535,0.007844,1.998304,0.000802
Oc1cc2c(cc1F)N1[BH-](N2)Nc2cc(O)c(F)cc21,1.121155,0.525297,0.01827,0.67044,1.99923,4.32956,2.31206,0.542346,15.8913,106.3421,0.01768,0.69249,1.99926,4.30751,2.29057,0.6017935808684708,-0.013091,2.305898,0.708692
