SMILES,FIA,group
FC(F)(F)c1cc2c(c(C(F)(F)F)c1Cl)OB1Oc3c(cc(C(F)(F)F)c(Cl)c3C(F)(F)F)N12,475.35336639359593,coverage
FC(F)(F)c1ccc2c(c1)OB1Oc3cc(C(F)(F)F)ccc3N12,393.126428341493,original
FC(F)(F)c1ccc2c(c1C(F)(F)F)OB1Oc3c(ccc(C(F)(F)F)c3C(F)(F)F)N12,439.4347645742818,original
FC(F)(F)c1ccc2c(c1Cl)OB1Oc3c(ccc(C(F)(F)F)c3Cl)N12,424.9353346992284,original
FC(F)(F)c1cccc2c1OB1Oc3c(cccc3C(F)(F)F)N12,392.1984715508297,original
Fc1c(Br)c(Cl)cc2c1OB1Oc3c(cc(Cl)c(Br)c3F)N12,429.3017515689135,original
Fc1c(Br)cc2c(c1Br)OB1Oc3c(cc(Br)c(F)c3Br)N12,433.6949748024344,kmeans
Fc1c(Br)ccc2c1OB1Oc3c(ccc(Br)c3F)N12,400.7833846136928,original
Fc1c(C(F)(F)F)cc2c(c1Br)OB1Oc3c(cc(C(F)(F)F)c(F)c3Br)N12,450.3949939236045,kmeans
Fc1c(Cl)cc2c(c1Cl)OB1Oc3c(cc(Cl)c(F)c3Cl)N12,433.9616468548775,coverage
Fc1c(Cl)ccc2c1OB1Oc3c(ccc(Cl)c3F)N12,399.8330323081464,original
Fc1cc(Br)cc2c1OB1Oc3c(F)cc(Br)cc3N12,401.7366774789989,original
Fc1cc(F)c2c(c1)N1B(O2)Oc2c(F)cc(F)cc21,381.9184567919001,original
Fc1cc2c(c(F)c1C(F)(F)F)OB1Oc3c(cc(F)c(C(F)(F)F)c3F)N12,431.33026553783566,coverage
Fc1cc2c(c(F)c1Cl)OB1Oc3c(cc(F)c(Cl)c3F)N12,415.6316647017375,original
Fc1cc2c(cc1F)N1B(O2)Oc2cc(F)c(F)cc21,384.2285293983296,original
Fc1ccc2c(c1)N1B(O2)Oc2ccc(F)cc21,357.2106988178566,original
Fc1ccc2c(c1)OB1Oc3cc(F)ccc3N12,365.2610311591998,original
Fc1cccc2c1OB1Oc3c(F)cccc3N12,360.34686930757016,original
N#Cc1c(Br)c(C(F)(F)F)cc2c1OB1Oc3c(cc(C(F)(F)F)c(Br)c3C#N)N12,495.18497713282704,coverage
N#Cc1c(Br)c(O)cc2c1OB1Oc3c(cc(O)c(Br)c3C#N)N12,467.0511671938002,original
N#Cc1c(F)c(Cl)cc2c1OB1Oc3c(cc(Cl)c(F)c3C#N)N12,478.5528534492478,kmeans
N#Cc1c(F)cc2c(c1C(F)(F)F)OB1Oc3c(cc(F)c(C#N)c3C(F)(F)F)N12,481.6965748779476,kmeans
N#Cc1c(F)cc2c(c1Cl)OB1Oc3c(cc(F)c(C#N)c3Cl)N12,467.6758262012154,original
N#Cc1c(N)c(Br)cc2c1OB1Oc3c(cc(Br)c(N)c3C#N)N12,437.59536538645625,original
N#Cc1c(N)c(O)cc2c1OB1Oc3c(cc(O)c(N)c3C#N)N12,416.4074212452397,original
N#Cc1c(N)cc2c(c1Cl)OB1Oc3c(cc(N)c(C#N)c3Cl)N12,421.9299508761615,original
N#Cc1c(N)cc2c(c1O)OB1Oc3c(cc(N)c(C#N)c3O)N12,392.2568364208564,original
N#Cc1c(O)c(C(F)(F)F)cc2c1OB1Oc3c(cc(C(F)(F)F)c(O)c3C#N)N12,472.8539164606482,original
N#Cc1c([N+](=O)[O-])cc2c(c1Br)OB1Oc3c(cc([N+](=O)[O-])c(C#N)c3Br)N12,521.3218316286802,coverage
N#Cc1c([N+](=O)[O-])cc2c(c1C#N)OB1Oc3c(cc([N+](=O)[O-])c(C#N)c3C#N)N12,564.1994530027732,coverage
N#Cc1c([N+](=O)[O-])ccc2c1OB1Oc3c(ccc([N+](=O)[O-])c3C#N)N12,499.323789395392,original
N#Cc1c2c(cc(C(F)(F)F)c1C(F)(F)F)N1B(O2)Oc2c1cc(C(F)(F)F)c(C(F)(F)F)c2C#N,507.91636892128736,left
N#Cc1cc(Br)c2c(c1)N1B(O2)Oc2c(Br)cc(C#N)cc21,458.4867855384946,original
N#Cc1cc(F)cc2c1OB1Oc3c(C#N)cc(F)cc3N12,442.9660623427481,original
N#Cc1cc(O)cc2c1OB1Oc3c(C#N)cc(O)cc3N12,420.64077776670456,original
N#Cc1cc2c(c(Br)c1F)OB1Oc3c(cc(C#N)c(F)c3Br)N12,478.9569966942072,original
N#Cc1cc2c(c(Cl)c1Br)OB1Oc3c(cc(C#N)c(Br)c3Cl)N12,480.2226453237236,coverage
N#Cc1cc2c(c(F)c1C(F)(F)F)OB1Oc3c(cc(C#N)c(C(F)(F)F)c3F)N12,491.785715771839,original
N#Cc1cc2c(c(N)c1N)OB1Oc3c(cc(C#N)c(N)c3N)N12,404.22651808615774,coverage
N#Cc1cc2c(cc1Br)N1B(O2)Oc2cc(C#N)c(Br)cc21,449.6061361320317,original
N#Cc1ccc2c(c1)N1B(O2)Oc2ccc(C#N)cc21,423.73984731547534,original
N#Cc1ccc2c(c1O)OB1Oc3c(ccc(C#N)c3O)N12,420.4128843499348,original
N#Cc1cccc2c1OB1Oc3c(C#N)cccc3N12,422.3564082477242,original
Nc1c(Br)c(Br)cc2c1OB1Oc3c(cc(Br)c(Br)c3N)N12,396.2897359989584,original
Nc1c(Br)cc2c(c1C(F)(F)F)OB1Oc3c(cc(Br)c(N)c3C(F)(F)F)N12,419.0511686690152,kmeans
Nc1c(F)c([N+](=O)[O-])cc2c1OB1Oc3c(cc([N+](=O)[O-])c(F)c3N)N12,442.065909598954,coverage
Nc1c(O)cc2c(c1F)OB1Oc3c(cc(O)c(N)c3F)N12,347.6415277356282,original
Nc1c([N+](=O)[O-])cc2c(c1[N+](=O)[O-])OB1Oc3c(cc([N+](=O)[O-])c(N)c3[N+](=O)[O-])N12,499.0737892668694,kmeans
